,Prices,Returns
,^GSPC,^GSPC
Date,,
2010-01-04,1132.989990234375,
2010-01-05,1136.52001953125,0.0031156756258232665
2010-01-06,1137.1400146484375,0.0005455206301101523
2010-01-07,1141.68994140625,0.00400120187417663
2010-01-08,1144.97998046875,0.0028817272914287706
2010-01-11,1146.97998046875,0.0017467554316374923
2010-01-12,1136.219970703125,-0.009381166148364262
2010-01-13,1145.6800537109375,0.008325925658531075
2010-01-14,1148.4599609375,0.0024264254383745687
2010-01-15,1136.030029296875,-0.010823130159869354
2010-01-19,1150.22998046875,0.012499626599363545
2010-01-20,1138.0400390625,-0.010597829662970737
2010-01-21,1116.47998046875,-0.01894490338978838
2010-01-22,1091.760009765625,-0.022140988764300484
2010-01-25,1096.780029296875,0.004598098012701168
2010-01-26,1092.1700439453125,-0.004203199573680982
2010-01-27,1097.5,0.004880152210944955
2010-01-28,1084.530029296875,-0.011817740959567224
2010-01-29,1073.8699951171875,-0.009829173828039273
2010-02-01,1089.18994140625,0.014266108894671836
2010-02-02,1103.3199462890625,0.01297294837718499
2010-02-03,1097.280029296875,-0.00547431142933863
2010-02-04,1063.1099853515625,-0.031140677888039425
2010-02-05,1066.18994140625,0.002897118921960873
2010-02-08,1056.739990234375,-0.00886329049344714
2010-02-09,1070.52001953125,0.013040132316577413
2010-02-10,1068.1300048828125,-0.0022325735201887964
2010-02-11,1078.469970703125,0.009680437561949251
2010-02-12,1075.510009765625,-0.002744592819371894
2010-02-16,1094.8699951171875,0.01800074864554846
2010-02-17,1099.510009765625,0.0042379594555796984
2010-02-18,1106.75,0.006584742448973557
2010-02-19,1109.1700439453125,0.002186622042297248
2010-02-22,1108.010009765625,-0.0010458578339902491
2010-02-23,1094.5999755859375,-0.012102809596931441
2010-02-24,1105.239990234375,0.00972045942422195
2010-02-25,1102.93994140625,-0.002081040179913507
2010-02-26,1104.489990234375,0.0014053791778985136
2010-03-01,1115.7099609375,0.01015850827289455
2010-03-02,1118.31005859375,0.0023304422719907514
2010-03-03,1118.7900390625,0.00042920160206150193
2010-03-04,1122.969970703125,0.0037361180334851696
2010-03-05,1138.699951171875,0.014007480947064943
2010-03-08,1138.5,-0.00017559601339156572
2010-03-09,1140.449951171875,0.0017127370855292146
2010-03-10,1145.6099853515625,0.00452455995494172
2010-03-11,1150.239990234375,0.004041519314613495
2010-03-12,1149.989990234375,-0.00021734594703937127
2010-03-15,1150.510009765625,0.000452194832708086
2010-03-16,1159.4599609375,0.0077791163013856135
2010-03-17,1166.2099609375,0.005821675803744153
2010-03-18,1165.8299560546875,-0.0003258460273372066
2010-03-19,1159.9000244140625,-0.005086446449439896
2010-03-22,1165.81005859375,0.005095296193887933
2010-03-23,1174.1700439453125,0.007170966908320198
2010-03-24,1167.719970703125,-0.005493304207041971
2010-03-25,1165.72998046875,-0.001704167338318907
2010-03-26,1166.5899658203125,0.000737722599547963
2010-03-29,1173.219970703125,0.005683234964352302
2010-03-30,1173.27001953125,4.265937281555665e-05
2010-03-31,1169.4300537109375,-0.00327287474868454
2010-04-01,1178.0999755859375,0.0074138011482498545
2010-04-05,1187.43994140625,0.00792799084446738
2010-04-06,1189.43994140625,0.0016842957106795176
2010-04-07,1182.449951171875,-0.005876707172041695
2010-04-08,1186.43994140625,0.003374341747336196
2010-04-09,1194.3699951171875,0.00668390656297202
2010-04-12,1196.47998046875,0.0017666094762833762
2010-04-13,1197.300048828125,0.0006854008197059169
2010-04-14,1210.6500244140625,0.011150066851666862
2010-04-15,1211.6700439453125,0.0008425387276917995
2010-04-16,1192.1300048828125,-0.016126534744455467
2010-04-19,1197.52001953125,0.004521331252766547
2010-04-20,1207.1700439453125,0.008058340784849571
2010-04-21,1205.93994140625,-0.0010189969053922
2010-04-22,1208.6700439453125,0.002263879356942944
2010-04-23,1217.280029296875,0.0071235200993795544
2010-04-26,1212.050048828125,-0.004296448099761374
2010-04-27,1183.7099609375,-0.023381945257149872
2010-04-28,1191.3599853515625,0.006462752419523099
2010-04-29,1206.780029296875,0.012943228020842135
2010-04-30,1186.68994140625,-0.016647680109796337
2010-05-03,1202.260009765625,0.013120586781854904
2010-05-04,1173.5999755859375,-0.02383846584506677
2010-05-05,1165.8699951171875,-0.006586554728659322
2010-05-06,1128.1500244140625,-0.032353496411350324
2010-05-07,1110.8800048828125,-0.015308264998017185
2010-05-10,1159.72998046875,0.04397412445198401
2010-05-11,1155.7900390625,-0.003397292018489928
2010-05-12,1171.6700439453125,0.013739523915341278
2010-05-13,1157.43994140625,-0.012145144968583543
2010-05-14,1135.6800537109375,-0.018800014512092122
2010-05-17,1136.93994140625,0.0011093685155389998
2010-05-18,1120.800048828125,-0.014195906037184347
2010-05-19,1115.050048828125,-0.005130263873571406
2010-05-20,1071.5899658203125,-0.03897590341661106
2010-05-21,1087.68994140625,0.015024380686144978
2010-05-24,1073.6500244140625,-0.012908014000787449
2010-05-25,1074.030029296875,0.00035393738571354305
2010-05-26,1067.949951171875,-0.0056609945338124135
2010-05-27,1103.06005859375,0.032876173067238
2010-05-28,1089.4100341796875,-0.01237468831159061
2010-06-01,1070.7099609375,-0.01716532127985071
2010-06-02,1098.3800048828125,0.025842707133391096
2010-06-03,1102.8299560546875,0.004051376711240895
2010-06-04,1064.8800048828125,-0.034411425771964765
2010-06-07,1050.469970703125,-0.01353207320412908
2010-06-08,1062.0,0.010976067492112662
2010-06-09,1055.68994140625,-0.005941674758709992
2010-06-10,1086.8399658203125,0.029506792849203878
2010-06-11,1091.5999755859375,0.004379678623643857
